0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-02 00:10:00,475.0,356.5,0.0,413.75,264.0,246.0,372.5,0.0,207.25,0.0,0.0,0.0,194.58333333333334
2020-12-02 00:20:00,590.25,0.0,0.0,270.6,235.5,472.25,367.25,0.0,175.2,0.0,0.0,0.0,175.92083333333332
2020-12-02 00:30:00,414.75,0.0,0.0,501.75,216.2,230.75,82.2,121.5,68.75,0.0,0.0,576.0,184.32500000000002
2020-12-02 00:40:00,120.2,0.0,0.0,220.0,244.0,181.8,256.5,964.5,165.5,0.0,0.0,180.4,194.40833333333333
2020-12-02 00:50:00,557.25,0.0,0.0,184.6,235.5,225.75,364.0,295.4,181.2,0.0,0.0,0.0,170.30833333333334
2020-12-02 01:00:00,0.0,0.0,0.0,211.5,235.25,224.75,0.0,361.0,210.75,0.0,0.0,0.0,103.60416666666667
2020-12-02 01:10:00,492.2,0.0,0.0,275.5,15.2,180.6,510.5,339.0,0.0,0.0,0.0,0.0,151.08333333333334
2020-12-02 01:20:00,0.0,0.0,0.0,0.0,208.25,231.25,0.0,238.4,180.0,0.0,0.0,0.0,71.49166666666666
2020-12-02 01:30:00,0.0,0.0,0.0,211.75,244.5,0.0,282.0,315.25,203.75,0.0,0.0,0.0,104.77083333333333
2020-12-02 01:40:00,620.5,0.0,0.0,231.0,0.0,165.6,359.5,0.0,0.0,0.0,0.0,657.6,169.51666666666665
2020-12-02 01:50:00,0.0,0.0,0.0,0.0,243.75,212.25,0.0,232.6,169.2,0.0,0.0,0.0,71.48333333333333
2020-12-02 02:00:00,0.0,0.0,0.0,175.0,0.0,211.75,360.0,286.25,211.5,0.0,0.0,0.0,103.70833333333333
2020-12-02 02:10:00,0.0,0.0,0.0,0.0,188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.733333333333334
2020-12-02 02:20:00,448.8,0.0,0.0,0.0,0.0,175.2,362.5,272.25,219.5,0.0,0.0,0.0,123.1875
2020-12-02 02:30:00,0.0,0.0,0.0,170.4,0.0,0.0,0.0,0.0,133.2,0.0,0.0,0.0,25.3
2020-12-02 02:40:00,0.0,0.0,0.0,0.0,1067.75,0.0,205.4,0.0,48.25,0.0,0.0,0.0,110.11666666666667
2020-12-02 02:50:00,55.0,0.0,0.0,0.0,2274.0,69.2,96.75,267.0,263.0,0.0,0.0,728.4,312.77916666666664
2020-12-02 03:00:00,791.25,0.0,0.0,221.5,2275.25,136.75,0.0,0.0,0.0,0.0,0.0,0.0,285.3958333333333
2020-12-02 03:10:00,0.0,0.0,0.0,0.0,2278.0,0.0,299.6,0.0,213.5,0.0,0.0,0.0,232.59166666666667
2020-12-02 03:20:00,0.0,0.0,0.0,0.0,2275.2,0.0,0.0,262.0,0.0,0.0,0.0,0.0,211.4333333333333
2020-12-02 03:30:00,0.0,0.0,0.0,280.75,2276.25,0.0,372.0,0.0,176.2,0.0,0.0,0.0,258.76666666666665
2020-12-02 03:40:00,0.0,420.6,0.0,0.0,2273.0,231.75,0.0,0.0,0.0,0.0,0.0,0.0,243.77916666666667
2020-12-02 03:50:00,0.0,0.0,0.0,0.0,1826.75,0.0,0.0,251.0,200.5,0.0,0.0,0.0,189.85416666666666
2020-12-02 04:00:00,384.6,0.0,0.0,0.0,1169.4,0.0,364.0,10.0,0.0,77.25,0.0,0.0,167.10416666666666
2020-12-02 04:10:00,0.0,0.0,0.0,184.6,1292.5,232.0,0.0,0.0,156.8,2264.5,0.0,863.25,416.1375
2020-12-02 04:20:00,0.0,0.0,0.0,0.0,731.0,479.5,294.2,0.0,199.75,557.0,0.0,0.0,188.45416666666665
2020-12-02 04:30:00,0.0,0.0,0.0,0.0,824.6,175.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
2020-12-02 04:40:00,622.5,0.0,0.0,0.0,653.0,235.75,0.0,270.25,159.6,1405.5,0.0,0.0,278.8833333333333
2020-12-02 04:50:00,0.0,0.0,0.0,170.8,576.75,235.25,345.4,0.0,0.0,2285.75,0.0,0.0,301.16249999999997
2020-12-02 05:00:00,0.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,206.25,2292.0,0.0,0.0,260.1875
2020-12-02 05:10:00,0.0,0.0,0.0,0.0,226.4,188.4,0.0,0.0,0.0,2198.5,0.0,0.0,217.775
2020-12-02 05:20:00,0.0,0.0,0.0,0.0,261.25,0.0,370.5,0.0,204.5,0.0,0.0,0.0,69.6875
2020-12-02 05:30:00,220.75,0.0,0.0,229.25,0.0,0.0,0.0,254.5,0.0,0.0,0.0,546.25,104.22916666666667
2020-12-02 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,17.833333333333332
2020-12-02 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,214.25,0.0,155.6,0.0,0.0,0.0,30.820833333333336
2020-12-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,121.2,0.0,0.0,0.0,0.0,0.0,10.1
2020-12-02 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.25,0.0,0.0,0.0,56.270833333333336
2020-12-02 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.5,439.6,0.0,0.0,0.0,57.00833333333333
